ID,LAT,LON,NAME,LIBRARY_ID,LIBRARY_TYPE,MH_F,IH_F,TAS_F,SS_F,NL_F,NH_F,MH_F_size,Risk,Date_Assessed
OK10311,35.59374121,-95.03793638,TENKILLER DAM,5179,dam_study,True,True,True,True,False,True,72.424131,Low (4),20200504
OK10316,36.08850619,-98.5914085,CANTON DAM,205,dam_study,True,False,True,True,True,True,72.551153,Very Low (5),20180514
PA00103,41.92049901,-79.9003515,UNION CITY DAM,5182,dam_study,True,True,True,True,False,True,72.554087,Very Low (5),20200721
CO01281,39.55789344,-105.0594068,CHATFIELD DAM,4627,dam_study,True,False,True,True,True,True,73.055487,High (2),20220523
TN02702,36.53759146,-85.45131184,DALE HOLLOW DAM,366,dam_study,True,False,True,True,True,True,73.418096,Low (4),20131125
AR00154,34.14859978,-93.71564327,NARROWS DAM,1076,dam_study,True,False,True,True,True,True,74.76014,Low (4),20081201
OH00032,41.04605256,-81.00246049,BERLIN DAM,2813,dam_study,True,False,True,True,True,True,75.633297,Very Low (5),20180711
VA195001,37.12511531,-82.63055425,North Fork of Pound Dam,6726,dam_study,True,True,True,True,False,True,76.308749,Low (4),20220909
VA117001,36.59667,-78.29667,JOHN H KERR DAM,237,dam_study,True,False,True,True,True,True,76.428319,Low (4),20130417
OR00005,43.71638222,-123.0537485,COTTAGE GROVE DAM,7348,dam_study,True,True,True,True,False,True,77.928675,Moderate (3),20070731
NC00173,35.65458882,-79.067,B. EVERETT JORDAN DAM,305,dam_study,True,False,True,True,True,True,78.638122,Low (4),20110630
GA00820,32.91845437,-85.18807227,WEST POINT DAM,700,dam_study,True,False,True,True,True,True,79.236002,Moderate (3),20160826
IN03005,40.80791944,-85.6779339,SALAMONIE DAM,5176,dam_study,True,True,True,True,False,True,80.084338,Low (4),20200428
MA00969,42.29070643,-72.86179015,KNIGHTVILLE DAM,1083,dam_study,True,False,True,True,False,True,82.343315,Moderate (3),20190425
CO01283,38.0696437,-102.938143,JOHN MARTIN DAM,262,dam_study,True,False,True,True,True,True,86.177444,High (2),20160323
OK10310,36.42235422,-95.68018803,OOLOGAH DAM,955,dam_study,True,False,True,True,True,True,87.296905,Low (4),20140731
